"district1","district2"
"Kannur","Kasarkode"
"Kannur","Wayanad"
"Kannur","Kozhikode"
"Kozhikode","Kannur"
"Kozhikode","Wayanad"
"Kozhikode","Malappuram"
"Wayanad","Kannur"
"Wayanad","Kozhikode"
"Wayanad","Malappuram"
"Malappuram","Kozhikode"
"Malappuram","Wayanad"
"Malappuram","Palakkad"
"Malappuram","Thrissur"
"Palakkad","Malappuram"
"Palakkad","Thrissur"
"Thrissur","Malappuram"
"Thrissur","Palakkad"
"Thrissur","Idukki"
"Thrissur","Eranakulam"
"Eranakulam","Thrissur"
"Eranakulam","Idukki"
"Eranakulam","Kottayam"
"Eranakulam","Alappuzha"
"Idukki","Thrissur"
"Idukki","Eranakulam"
"Idukki","Kottayam"
"Idukki","Pathanamthitta"
"Alappuzha","Eranakulam"
"Alappuzha","Kottayam"
"Alappuzha","Pathanamthitta"
"Alappuzha","Kollam"
"Kottayam","Eranakulam"
"Kottayam","Pathanamthitta"
"Kottayam","Alappuzha"
"Kottayam","Idukki"
"Pathanamthitta","Idukki"
"Pathanamthitta","Kottayam"
"Pathanamthitta","Alappuzha"
"Pathanamthitta","Kollam"
"Kollam","Pathanamthitta"
"Kollam","Alappuzha"
"Kollam","TVM"
"TVM","Kollam"
